User,Timestamp,Compound_Score,Pos_Score,Neu_Score,Neg_Score,Tweets_Ago,Tweet_Text
BBCWorld,Wed Oct 17 23:47:01 +0000 2018,0.0,0.0,1.0,0.0,1,Cannabis in Canada: How it went down on Legalisation Day https://t.co/5MdgdYQXdA
BBCWorld,Wed Oct 17 23:21:28 +0000 2018,-0.6908,0.0,0.63,0.37,2,Sri Lanka's Sirisena calls India over 'murder plot' https://t.co/beifsC61Ip
BBCWorld,Wed Oct 17 23:09:57 +0000 2018,0.2235,0.173,0.827,0.0,3,Central African Republic: 'Why a grenade couldn't stop our music' https://t.co/0a77m2RydY
BBCWorld,Wed Oct 17 23:07:33 +0000 2018,0.0,0.0,1.0,0.0,4,Why is Germany beefing-up its military? https://t.co/LWjc8J7hNY
BBCWorld,Wed Oct 17 23:03:01 +0000 2018,0.5574,0.338,0.662,0.0,5,Venezuelans escape to Spain and ask to return old favour https://t.co/mI3KxWc1t1
BBCWorld,Wed Oct 17 22:35:41 +0000 2018,-0.6597,0.0,0.645,0.355,6,Jayme Closs: Hunt for 13-year-old after parents murdered https://t.co/3IgPkZ1cEQ
BBCWorld,Wed Oct 17 21:58:36 +0000 2018,-0.7845,0.0,0.465,0.535,7,Viktoria Marinova: Suspect in journalist murder extradited https://t.co/engmypMSmP
BBCWorld,Wed Oct 17 20:44:33 +0000 2018,0.0,0.0,1.0,0.0,8,Healthcare in US: The big election story not being talked about https://t.co/ZPcrVm5SHE
BBCWorld,Wed Oct 17 20:32:58 +0000 2018,0.0,0.0,1.0,0.0,9,Jamal Khashoggi disappearance: US asks Turkey for recording evidence https://t.co/ixQkpbtZfe
BBCWorld,Wed Oct 17 19:47:01 +0000 2018,-0.4767,0.131,0.584,0.285,10,Norway apologises to its World War Two 'German girls' https://t.co/vMLrR1iw39
BBCWorld,Wed Oct 17 17:43:39 +0000 2018,0.0,0.0,1.0,0.0,11,RT @BBCMonitoring: The state of #ISIS one year on from the fall of #Raqqa https://t.co/IzLar8GDrd
BBCWorld,Wed Oct 17 17:06:09 +0000 2018,0.296,0.306,0.694,0.0,12,Islands 'should share' housing refugees https://t.co/ReyopS2sVH
BBCWorld,Wed Oct 17 16:28:08 +0000 2018,-0.5994,0.0,0.698,0.302,13,Hurricane Michael: Death toll continues to rise amid searches https://t.co/x8O5RN8MvS
BBCWorld,Wed Oct 17 16:24:05 +0000 2018,0.4215,0.183,0.817,0.0,14,RT @BBCBusiness: Inside one of Canada's legal cannabis factories - where pot growers are turning a youthful habit into careers https://t.co…
BBCWorld,Wed Oct 17 16:09:46 +0000 2018,0.0,0.0,1.0,0.0,15,"RT @BBCNews: He fled Syria seven years ago 
Now this refugee calls a historic London manor home 
(Tap to expand) https://t.co/z3ZwikMRZY ht…"
BBCWorld,Wed Oct 17 16:06:37 +0000 2018,-0.4404,0.133,0.632,0.235,16,"""There's no beauty in life now.""

The aftermath of the Yemen airstrike that killed more than 40 children, carried o… https://t.co/Rywl75qXBC"
BBCWorld,Wed Oct 17 14:54:03 +0000 2018,-0.5994,0.0,0.719,0.281,17,Syria war: UN envoy Staffan de Mistura to step down https://t.co/8wZEc5sZJF
BBCWorld,Wed Oct 17 14:37:51 +0000 2018,0.0,0.0,1.0,0.0,18,Belfast balloon release 'horrendous' say marine experts https://t.co/QeyDsWqXQQ
BBCWorld,Wed Oct 17 14:21:48 +0000 2018,-0.4588,0.0,0.7,0.3,19,Melania Trump : 'Smoke-filled' plane forced to land https://t.co/yepBjkLNN9
BBCWorld,Wed Oct 17 13:56:39 +0000 2018,0.0,0.0,1.0,0.0,20,Spanish drug baron Francisco Tejón surrenders after video clip https://t.co/Da1tRMmuTt
BBCWorld,Wed Oct 17 23:47:01 +0000 2018,0.0,0.0,1.0,0.0,21,Cannabis in Canada: How it went down on Legalisation Day https://t.co/5MdgdYQXdA
BBCWorld,Wed Oct 17 23:21:28 +0000 2018,-0.6908,0.0,0.63,0.37,22,Sri Lanka's Sirisena calls India over 'murder plot' https://t.co/beifsC61Ip
BBCWorld,Wed Oct 17 23:09:57 +0000 2018,0.2235,0.173,0.827,0.0,23,Central African Republic: 'Why a grenade couldn't stop our music' https://t.co/0a77m2RydY
BBCWorld,Wed Oct 17 23:07:33 +0000 2018,0.0,0.0,1.0,0.0,24,Why is Germany beefing-up its military? https://t.co/LWjc8J7hNY
BBCWorld,Wed Oct 17 23:03:01 +0000 2018,0.5574,0.338,0.662,0.0,25,Venezuelans escape to Spain and ask to return old favour https://t.co/mI3KxWc1t1
BBCWorld,Wed Oct 17 22:35:41 +0000 2018,-0.6597,0.0,0.645,0.355,26,Jayme Closs: Hunt for 13-year-old after parents murdered https://t.co/3IgPkZ1cEQ
BBCWorld,Wed Oct 17 21:58:36 +0000 2018,-0.7845,0.0,0.465,0.535,27,Viktoria Marinova: Suspect in journalist murder extradited https://t.co/engmypMSmP
BBCWorld,Wed Oct 17 20:44:33 +0000 2018,0.0,0.0,1.0,0.0,28,Healthcare in US: The big election story not being talked about https://t.co/ZPcrVm5SHE
BBCWorld,Wed Oct 17 20:32:58 +0000 2018,0.0,0.0,1.0,0.0,29,Jamal Khashoggi disappearance: US asks Turkey for recording evidence https://t.co/ixQkpbtZfe
BBCWorld,Wed Oct 17 19:47:01 +0000 2018,-0.4767,0.131,0.584,0.285,30,Norway apologises to its World War Two 'German girls' https://t.co/vMLrR1iw39
BBCWorld,Wed Oct 17 17:43:39 +0000 2018,0.0,0.0,1.0,0.0,31,RT @BBCMonitoring: The state of #ISIS one year on from the fall of #Raqqa https://t.co/IzLar8GDrd
BBCWorld,Wed Oct 17 17:06:09 +0000 2018,0.296,0.306,0.694,0.0,32,Islands 'should share' housing refugees https://t.co/ReyopS2sVH
BBCWorld,Wed Oct 17 16:28:08 +0000 2018,-0.5994,0.0,0.698,0.302,33,Hurricane Michael: Death toll continues to rise amid searches https://t.co/x8O5RN8MvS
BBCWorld,Wed Oct 17 16:24:05 +0000 2018,0.4215,0.183,0.817,0.0,34,RT @BBCBusiness: Inside one of Canada's legal cannabis factories - where pot growers are turning a youthful habit into careers https://t.co…
BBCWorld,Wed Oct 17 16:09:46 +0000 2018,0.0,0.0,1.0,0.0,35,"RT @BBCNews: He fled Syria seven years ago 
Now this refugee calls a historic London manor home 
(Tap to expand) https://t.co/z3ZwikMRZY ht…"
BBCWorld,Wed Oct 17 16:06:37 +0000 2018,-0.4404,0.133,0.632,0.235,36,"""There's no beauty in life now.""

The aftermath of the Yemen airstrike that killed more than 40 children, carried o… https://t.co/Rywl75qXBC"
BBCWorld,Wed Oct 17 14:54:03 +0000 2018,-0.5994,0.0,0.719,0.281,37,Syria war: UN envoy Staffan de Mistura to step down https://t.co/8wZEc5sZJF
BBCWorld,Wed Oct 17 14:37:51 +0000 2018,0.0,0.0,1.0,0.0,38,Belfast balloon release 'horrendous' say marine experts https://t.co/QeyDsWqXQQ
BBCWorld,Wed Oct 17 14:21:48 +0000 2018,-0.4588,0.0,0.7,0.3,39,Melania Trump : 'Smoke-filled' plane forced to land https://t.co/yepBjkLNN9
BBCWorld,Wed Oct 17 13:56:39 +0000 2018,0.0,0.0,1.0,0.0,40,Spanish drug baron Francisco Tejón surrenders after video clip https://t.co/Da1tRMmuTt
BBCWorld,Wed Oct 17 13:51:14 +0000 2018,0.0,0.0,1.0,0.0,41,RT @BBC_HaveYourSay: What are NPC memes and why are they appearing across social media? https://t.co/Ql1pXa3c6E
BBCWorld,Wed Oct 17 13:43:41 +0000 2018,0.128,0.067,0.933,0.0,42,"RT @BBCNorthAmerica: Today is the first day of legal recreational cannabis sales in Canada, follow our live coverage from across the countr…"
BBCWorld,Wed Oct 17 13:40:25 +0000 2018,0.0,0.0,1.0,0.0,43,"RT @Murphy_Jessica_: The Kamloops cannabis store - about 350 km away from Vancouver, BC's largest city - will be joined by others soon. The…"
BBCWorld,Wed Oct 17 13:38:18 +0000 2018,-0.8591,0.0,0.424,0.576,44,Tasmania penguin deaths: Dozens killed in suspected dog attack https://t.co/OOzgsPSymo
BBCWorld,Wed Oct 17 13:25:02 +0000 2018,-0.926,0.0,0.571,0.429,45,"RT @BBCBreaking: Crimea school attack update:

*At least 17 killed &amp; dozens wounded
*Officials now say all victims died of gunshot wounds…"
BBCWorld,Wed Oct 17 13:02:55 +0000 2018,0.0,0.0,1.0,0.0,46,"RT @BBCNewsEnts: ""Time to say bye bye again to the internet for jus a lil bit."" @ArianaGrande https://t.co/FG17nWcdKY"
BBCWorld,Wed Oct 17 12:42:06 +0000 2018,0.0,0.0,1.0,0.0,47,MJ Akbar: India minister quits after #MeToo allegations https://t.co/ii9h08LnaQ
BBCWorld,Wed Oct 17 12:28:12 +0000 2018,-0.4588,0.0,0.727,0.273,48,Domenico Lucano: Italy's migrant-friendly mayor banned from Riace https://t.co/n6En82v03N
BBCWorld,Wed Oct 17 12:27:49 +0000 2018,0.0,0.0,1.0,0.0,49,California student 'baked grandma's ashes into cookies' https://t.co/dQeD97pB70
BBCWorld,Wed Oct 17 12:11:19 +0000 2018,-0.5574,0.0,0.735,0.265,50,Chinese firm fined $1.3bn for illegal production of rabies vaccine https://t.co/hM44Xjtwbj
BBCWorld,Wed Oct 17 11:27:45 +0000 2018,-0.5859,0.0,0.593,0.407,51,Sabarimala: Protesters block women from entering Hindu shrine https://t.co/2kuXhPZ4ue
BBCWorld,Wed Oct 17 11:12:37 +0000 2018,-0.5267,0.0,0.673,0.327,52,Head of anti-homophobia group assaulted in Paris https://t.co/oA0LePNBu9
BBCWorld,Wed Oct 17 11:06:25 +0000 2018,-0.6705,0.0,0.824,0.176,53,"RT @BBCBreaking: Blast which killed 10 people at college in Crimean town of Kerch caused by explosive device, Russian officials say https:/…"
BBCWorld,Wed Oct 17 09:59:58 +0000 2018,0.6072,0.132,0.868,0.0,54,"RT @BBCAfrica: “Mum, why am I different from other people? Why is it that when I pass, people laugh at me?”

Her name is Angel &amp; she also h…"
BBCWorld,Wed Oct 17 09:57:03 +0000 2018,-0.296,0.0,0.784,0.216,55,Jamal Khashoggi: Pompeo meets Erdogan over missing writer https://t.co/Bx0wzpkMCo
BBCWorld,Wed Oct 17 09:40:09 +0000 2018,0.0,0.0,1.0,0.0,56,Your US mid-term elections daily digest https://t.co/iAoc186W0X
BBCWorld,Wed Oct 17 09:28:56 +0000 2018,0.4754,0.154,0.846,0.0,57,"RT @BBCPolitics: Are EU leaders really united on #Brexit? @BBCKatyaAdler explains 

Read more: https://t.co/1pZQNzfQv8

[tap video to expan…"
BBCWorld,Wed Oct 17 08:54:09 +0000 2018,-0.5423,0.158,0.504,0.338,58,Hélène Pastor murder: Polish son-in-law admits ordering hit https://t.co/AnX5KCYgGB
BBCWorld,Wed Oct 17 08:51:53 +0000 2018,-0.8807,0.0,0.44,0.56,59,Chinese woman kills herself and children after husband fakes death https://t.co/Yq3lgNw0A0
BBCWorld,Wed Oct 17 08:48:42 +0000 2018,0.5859,0.167,0.833,0.0,60,RT @BBCNews: The cutest breach of royal protocol you'll ever see – a five-year-old boy couldn't resist touching Prince Harry's beard during…
BBCWorld,Wed Oct 17 06:02:52 +0000 2018,-0.4939,0.0,0.758,0.242,61,Charlie Condell: UK teenager in record attempt has bike stolen https://t.co/FgVM4aNvov
BBCWorld,Wed Oct 17 04:43:41 +0000 2018,-0.5719,0.0,0.829,0.171,62,"The Halloween reboot is bringing Jamie Lee Curtis so much attention

The veteran actress on her horror return: https://t.co/5KvKtOGI2I"
BBCWorld,Wed Oct 17 03:48:43 +0000 2018,0.0,0.0,1.0,0.0,63,"IMF chief Christine Lagarde  withdraws from major Saudi investment conference, as global concern over the disappear… https://t.co/zT9rEY8OxY"
BBCWorld,Wed Oct 17 03:40:52 +0000 2018,0.3182,0.113,0.887,0.0,64,"He was responsible for some of Australia's most iconic environmental campaigns. 

And also famously came to the res… https://t.co/M78IqCBFSC"
BBCWorld,Wed Oct 17 03:32:39 +0000 2018,-0.6908,0.0,0.63,0.37,65,Pakistan Zainab murder: Imran Ali executed in jail https://t.co/c7MejLAtuZ
BBCWorld,Wed Oct 17 03:07:22 +0000 2018,0.3384,0.285,0.715,0.0,66,US mid-terms: The most surprising candidates https://t.co/0IwYSPa2a0
BBCWorld,Wed Oct 17 03:01:47 +0000 2018,0.0,0.0,1.0,0.0,67,RT @SallyBundockBBC: We are discussing all sort this morning including whether you would eat meat grown in a lab. Send us your thoughts and…
BBCWorld,Wed Oct 17 02:57:43 +0000 2018,-0.5994,0.0,0.782,0.218,68,An ongoing deadly drought in Afghanistan is displacing more people than the Taliban war https://t.co/1cGbQX6dTX
BBCWorld,Wed Oct 17 02:50:59 +0000 2018,0.0,0.0,1.0,0.0,69,"RT @SallyBundockBBC: Can #Netflix keep up this momentum? We discuss in #BusinessBriefing at 05:30 BST
https://t.co/lEvf4ipw0J"
BBCWorld,Wed Oct 17 02:50:56 +0000 2018,0.3612,0.128,0.872,0.0,70,"@BBCBreaking So Canada just legalised recreational marijuana. But is it ready for cannabis? 

Concerns also still r… https://t.co/1D5lDO2lnA"
BBCWorld,Wed Oct 17 02:42:17 +0000 2018,0.0,0.0,1.0,0.0,71,Canada becomes second country to legalise recreational marijuana https://t.co/mO2nPbKOPD
BBCWorld,Wed Oct 17 02:41:34 +0000 2018,0.0,0.0,1.0,0.0,72,"RT @BBCBreaking: Canada legalises possession and use of recreational cannabis, the second country after Uruguay to do so https://t.co/Y9rZr…"
BBCWorld,Wed Oct 17 02:40:24 +0000 2018,0.2023,0.079,0.921,0.0,73,"RT @BBCNewsAsia: China's top official in Xinjiang has defended the use of 'internment camps' for Uighur Muslims, saying they were proving e…"
BBCWorld,Wed Oct 17 02:35:15 +0000 2018,0.3182,0.119,0.881,0.0,74,The recent high-profile disappearances of Chinese starlet Fan Bingbing and Interpol chief Meng Hongwei show one thi… https://t.co/V3fWEkz1hN
BBCWorld,Wed Oct 17 02:13:36 +0000 2018,0.0,0.0,1.0,0.0,75,This pop star from Pakistan is set to make history with an epic flying mission https://t.co/Cu5CGKMD0G
BBCWorld,Wed Oct 17 00:51:04 +0000 2018,0.4019,0.252,0.748,0.0,76,Ian Kiernan: 'Clean Up the World' environmentalist dies https://t.co/zo7t1BdEfg
BBCWorld,Wed Oct 17 00:27:00 +0000 2018,0.0,0.0,1.0,0.0,77,Afghan drought 'displacing more people than Taliban' https://t.co/pUKMTTe1wy
BBCWorld,Tue Oct 16 23:35:46 +0000 2018,-0.8979,0.0,0.391,0.609,78,Nigeria midwife murders: Brutal IS tactics rekindle new fears https://t.co/jHnuhnSwHC
BBCWorld,Tue Oct 16 23:33:27 +0000 2018,0.0258,0.121,0.879,0.0,79,Orthodox Church split: Five reasons why it matters https://t.co/yQa9v3wCqu
BBCWorld,Tue Oct 16 23:17:34 +0000 2018,0.0,0.0,1.0,0.0,80,China disappearances show Beijing sets its own rules https://t.co/1YZUdGthEc
BBCWorld,Tue Oct 16 21:45:01 +0000 2018,0.0,0.0,1.0,0.0,81,Kiah Morris: Vermont's only black woman lawmaker on why she quit https://t.co/adhJKWy7i6
BBCWorld,Tue Oct 16 21:24:09 +0000 2018,0.0,0.0,1.0,0.0,82,Dennis Hof: Nevada brothel owner and reality star dies at 72 https://t.co/9kvZvDevki
BBCWorld,Tue Oct 16 20:58:16 +0000 2018,0.128,0.081,0.919,0.0,83,"Weed is legal at midnight in Canada, should people with pot convictions get amnesty? 
[Tap to expand]… https://t.co/rgrWvrQJKm"
BBCWorld,Tue Oct 16 20:53:05 +0000 2018,0.8555,0.309,0.691,0.0,84,RT @BBCBreaking: Anna Burns has been named the winner of this year's Man Booker Prize for her novel Milkman - becoming the first author fro…
BBCWorld,Tue Oct 16 20:52:04 +0000 2018,-0.7003,0.0,0.608,0.392,85,US senator apologies for revealing names of 'sex crime victims' https://t.co/HiYfmncaSI
BBCWorld,Tue Oct 16 20:48:32 +0000 2018,-0.4215,0.0,0.741,0.259,86,Jamal Khashoggi disappearance: Saudi crown prince 'denies involvement' https://t.co/3DkSV755DW
BBCWorld,Tue Oct 16 20:44:10 +0000 2018,0.25,0.132,0.736,0.132,87,RT @BBCSport: The interim boss of USA Gymnastics has resigned after her appointment was questioned by Olympic champions Simone Biles and Al…
BBCWorld,Tue Oct 16 20:31:49 +0000 2018,0.7096,0.457,0.543,0.0,88,RT @BBCBusiness: Netflix surges on strong subscriber growth https://t.co/jp3YOAsAAp
BBCWorld,Tue Oct 16 19:56:26 +0000 2018,0.0,0.0,1.0,0.0,89,"RT @BBCSport: On the 50th anniversary of the 'Black Power' salute by US sprinters Tommie Smith and John Carlos at the 1968 Olympics, we ask…"
BBCWorld,Tue Oct 16 19:42:30 +0000 2018,-0.1326,0.167,0.62,0.213,90,RT @BBCBusiness: Walmart rises despite lower profit forecast https://t.co/dP8opaMoHv
BBCWorld,Tue Oct 16 18:58:49 +0000 2018,-0.6486,0.0,0.602,0.398,91,Missing pianist believed to be buried by wrong family https://t.co/ZG6DqLJdxe
BBCWorld,Tue Oct 16 17:43:07 +0000 2018,0.0,0.0,1.0,0.0,92,US senator Elizabeth Warren faces backlash after indigenous DNA claim https://t.co/7K04RLfaJP
BBCWorld,Tue Oct 16 17:38:11 +0000 2018,0.0,0.0,1.0,0.0,93,K-pop singer HyunA sacked by record label over relationship with bandmate E'Dawn https://t.co/6MD1yfZcw8
BBCWorld,Tue Oct 16 16:45:28 +0000 2018,-0.5719,0.0,0.63,0.37,94,Trump threatens to cut aid to Honduras over migrants https://t.co/q6AdyL1Pf4
BBCWorld,Tue Oct 16 16:45:14 +0000 2018,-0.5719,0.0,0.68,0.32,95,RT @BBCNorthAmerica: Trump threatens to cut aid to Honduras over migrants https://t.co/xQn0yT3vh3
BBCWorld,Tue Oct 16 16:39:19 +0000 2018,0.6486,0.218,0.782,0.0,96,"The chicken that this nugget is made from is still alive and roaming around a farm... 🐔 

Yes, you read that right… https://t.co/GSFI4aOSkt"
BBCWorld,Tue Oct 16 16:23:40 +0000 2018,0.0,0.0,1.0,0.0,97,RT @BBCScienceNews: Lab-grown oesophagus implanted in mice https://t.co/yKotMUNoDh
BBCWorld,Tue Oct 16 16:00:41 +0000 2018,-0.6124,0.0,0.615,0.385,98,Al-Shabab in Somalia: US air strike 'kills 60 militants' https://t.co/fghOaTzs8X
BBCWorld,Tue Oct 16 15:47:39 +0000 2018,0.0772,0.053,0.947,0.0,99,RT @BBCJLandale: Want to know the latest about the disappearance of Jamal Khashoggi and what Saudi Arabia is saying? Watch @huwbbc &amp; me on…
BBCWorld,Tue Oct 16 15:35:02 +0000 2018,-0.765,0.0,0.515,0.485,100,Idaho wildlife official resigns over dead baboon photo https://t.co/8rU7s30HJe
CBS,Wed Oct 17 22:42:28 +0000 2018,0.4843,0.216,0.784,0.0,1,"Don't miss @Elementary_CBS star @LucyLiu as ""Conformity"" in the animated CBS special Michael Jackson's Halloween th… https://t.co/uBkeeTt45K"
CBS,Wed Oct 17 18:00:01 +0000 2018,0.0,0.0,1.0,0.0,2,"Did you know @Alancumming, @KierseyClemons, and @lucastill voices will be part of #MJHalloween? Find out which othe… https://t.co/FJzSM6AgGT"
CBS,Wed Oct 17 14:45:37 +0000 2018,0.4019,0.114,0.886,0.0,3,"This just in: Country superstar @garthbrooks is set to premiere his new TV special ""Garth: Live At Notre Dame"" on S… https://t.co/fh37csbIxw"
CBS,Wed Oct 17 13:08:31 +0000 2018,0.636,0.189,0.811,0.0,4,RT @WorldsBestCBS: Mark your calendars! The #WorldsBest is premiering right after the Super Bowl on February 3: https://t.co/mOcLpFURB9 🏈🏆…
CBS,Tue Oct 16 21:49:16 +0000 2018,0.6114,0.154,0.846,0.0,5,"RT @NCIS_CBS: When it's #NationalBossDay AND #NCIS day, there's just one thing to do... Celebrate Gibbs! What do you think makes Gibbs a gr…"
CBS,Mon Oct 15 19:40:07 +0000 2018,0.4588,0.15,0.85,0.0,6,"Sixty-seven years ago, legendary CBS sitcom #ILoveLucy premiered on this day in #CBStory. What's your favorite epis… https://t.co/iOgv99L21F"
CBS,Mon Oct 15 17:41:20 +0000 2018,0.0,0.0,1.0,0.0,7,RT @MagnumPICBS: Woof woof woof! (Translation: #MagnumPI is new tonight at 9/8c!) https://t.co/hBkiJUVZD3
CBS,Sun Oct 14 23:29:25 +0000 2018,0.5562,0.204,0.796,0.0,8,"Hooray! #CBS Sunday schedule starting on time. All new episodes: 
#60Minutes 7:30pmET/7pmPT 
#GodFriendedMe 8:30pmE… https://t.co/XJQ40QeUS8"
CBS,Sun Oct 14 20:00:00 +0000 2018,0.0,0.0,1.0,0.0,9,"Dust off your dancing shoes! Michael Jackson’s Halloween airs Saturday, Oct. 20 at 8/7c on CBS. https://t.co/o0PoEUj1Xn"
CBS,Sun Oct 14 15:22:32 +0000 2018,0.0,0.0,1.0,0.0,10,RT @CBSAllAccess: Sundays were made for NFL on CBS. 🏈 https://t.co/vsod8jYeZl https://t.co/OtJL7e94BA
CBS,Sat Oct 13 03:09:33 +0000 2018,0.4466,0.213,0.693,0.094,11,"DVR ALERT for Viewers in EAST/CENTRAL Time Zones, please note *possible* football delay for CBS shows on Sunday eve… https://t.co/VB9W5WaUqL"
CBS,Fri Oct 12 17:59:00 +0000 2018,0.7579,0.265,0.735,0.0,12,This bonus spin was just a part of what made #PriceIsRight's Big Money Week enormous. What was your favorite moment? https://t.co/mhU50K8dJd
CBS,Thu Oct 11 18:05:06 +0000 2018,0.5093,0.162,0.838,0.0,13,"RT @CBSAllAccess: Welcome to #TheTwilightZone, @justsanaa! The new series is coming to CBS All Access in 2019. 🌀 https://t.co/NdB7Vf4vdb"
CBS,Wed Oct 10 20:31:12 +0000 2018,0.4939,0.198,0.802,0.0,14,"Ready to get into the Halloween spirit? An encore presentation of Michael Jackson’s Halloween will air Saturday, Oc… https://t.co/sgLdtV4SaR"
CBS,Tue Oct 09 19:23:28 +0000 2018,-0.34,0.0,0.893,0.107,15,"@ira We may have accidentally offered the job already to Catherine Deneuve, thinking we were talking to you on the… https://t.co/4BgA5HgSeB"
CBS,Mon Oct 08 23:48:50 +0000 2018,0.4215,0.237,0.763,0.0,16,RT @MadamSecretary: #ICYMI: A powerful moment from last night. #MadamSecretary https://t.co/MgQ11RlFmR
CBS,Mon Oct 08 16:37:00 +0000 2018,0.6696,0.183,0.817,0.0,17,"RT @WorldsBestCBS: It’s the world’s best news! @JKCorden will host, and @DrewBarrymore, @RuPaul and @FaithHill will serve as judges of the…"
CBS,Sun Oct 07 14:00:01 +0000 2018,0.3612,0.098,0.902,0.0,18,All the action on the gridiron from the comfort of your couch. Watch NFL on CBS LIVE today starting at 1pm ET. 🏈… https://t.co/WiXBm46gNV
CBS,Sat Oct 06 21:33:36 +0000 2018,0.0772,0.064,0.936,0.0,19,"RT @CBSAllAccess: Take a first look at Spock, Number One, and Section 31’s newest recruit. #StarTrekDiscovery returns January 17, 2019. htt…"
CBS,Fri Oct 05 23:30:00 +0000 2018,0.5423,0.2,0.8,0.0,20,"Viewers in Atlanta, Charlotte, Pittsburgh, and most of Michigan and Wisconsin, please take note of the DVR alert be… https://t.co/fradnBOvdk"
CBS,Wed Oct 17 22:42:28 +0000 2018,0.4843,0.216,0.784,0.0,21,"Don't miss @Elementary_CBS star @LucyLiu as ""Conformity"" in the animated CBS special Michael Jackson's Halloween th… https://t.co/uBkeeTt45K"
CBS,Wed Oct 17 18:00:01 +0000 2018,0.0,0.0,1.0,0.0,22,"Did you know @Alancumming, @KierseyClemons, and @lucastill voices will be part of #MJHalloween? Find out which othe… https://t.co/FJzSM6AgGT"
CBS,Wed Oct 17 14:45:37 +0000 2018,0.4019,0.114,0.886,0.0,23,"This just in: Country superstar @garthbrooks is set to premiere his new TV special ""Garth: Live At Notre Dame"" on S… https://t.co/fh37csbIxw"
CBS,Wed Oct 17 13:08:31 +0000 2018,0.636,0.189,0.811,0.0,24,RT @WorldsBestCBS: Mark your calendars! The #WorldsBest is premiering right after the Super Bowl on February 3: https://t.co/mOcLpFURB9 🏈🏆…
CBS,Tue Oct 16 21:49:16 +0000 2018,0.6114,0.154,0.846,0.0,25,"RT @NCIS_CBS: When it's #NationalBossDay AND #NCIS day, there's just one thing to do... Celebrate Gibbs! What do you think makes Gibbs a gr…"
CBS,Mon Oct 15 19:40:07 +0000 2018,0.4588,0.15,0.85,0.0,26,"Sixty-seven years ago, legendary CBS sitcom #ILoveLucy premiered on this day in #CBStory. What's your favorite epis… https://t.co/iOgv99L21F"
CBS,Mon Oct 15 17:41:20 +0000 2018,0.0,0.0,1.0,0.0,27,RT @MagnumPICBS: Woof woof woof! (Translation: #MagnumPI is new tonight at 9/8c!) https://t.co/hBkiJUVZD3
CBS,Sun Oct 14 23:29:25 +0000 2018,0.5562,0.204,0.796,0.0,28,"Hooray! #CBS Sunday schedule starting on time. All new episodes: 
#60Minutes 7:30pmET/7pmPT 
#GodFriendedMe 8:30pmE… https://t.co/XJQ40QeUS8"
CBS,Sun Oct 14 20:00:00 +0000 2018,0.0,0.0,1.0,0.0,29,"Dust off your dancing shoes! Michael Jackson’s Halloween airs Saturday, Oct. 20 at 8/7c on CBS. https://t.co/o0PoEUj1Xn"
CBS,Sun Oct 14 15:22:32 +0000 2018,0.0,0.0,1.0,0.0,30,RT @CBSAllAccess: Sundays were made for NFL on CBS. 🏈 https://t.co/vsod8jYeZl https://t.co/OtJL7e94BA
CBS,Sat Oct 13 03:09:33 +0000 2018,0.4466,0.213,0.693,0.094,31,"DVR ALERT for Viewers in EAST/CENTRAL Time Zones, please note *possible* football delay for CBS shows on Sunday eve… https://t.co/VB9W5WaUqL"
CBS,Fri Oct 12 17:59:00 +0000 2018,0.7579,0.265,0.735,0.0,32,This bonus spin was just a part of what made #PriceIsRight's Big Money Week enormous. What was your favorite moment? https://t.co/mhU50K8dJd
CBS,Thu Oct 11 18:05:06 +0000 2018,0.5093,0.162,0.838,0.0,33,"RT @CBSAllAccess: Welcome to #TheTwilightZone, @justsanaa! The new series is coming to CBS All Access in 2019. 🌀 https://t.co/NdB7Vf4vdb"
CBS,Wed Oct 10 20:31:12 +0000 2018,0.4939,0.198,0.802,0.0,34,"Ready to get into the Halloween spirit? An encore presentation of Michael Jackson’s Halloween will air Saturday, Oc… https://t.co/sgLdtV4SaR"
